,Image_ID,Split
0,1.2.276.0.7230010.3.1.4.8323329.10287.1517875222.997107,train
1,1.2.276.0.7230010.3.1.4.8323329.11292.1517875232.184525,train
2,1.2.276.0.7230010.3.1.4.8323329.10757.1517875225.493541,train
3,1.2.276.0.7230010.3.1.4.8323329.13025.1517875243.155983,train
4,1.2.276.0.7230010.3.1.4.8323329.31725.1517875156.492535,train
5,1.2.276.0.7230010.3.1.4.8323329.10801.1517875225.674698,train
6,1.2.276.0.7230010.3.1.4.8323329.10465.1517875223.832302,train
7,1.2.276.0.7230010.3.1.4.8323329.2071.1517875171.4024,train
8,1.2.276.0.7230010.3.1.4.8323329.11454.1517875233.21630,train
9,1.2.276.0.7230010.3.1.4.8323329.13428.1517875245.276233,train
10,1.2.276.0.7230010.3.1.4.8323329.11243.1517875231.925849,train
11,1.2.276.0.7230010.3.1.4.8323329.11054.1517875230.504403,train
12,1.2.276.0.7230010.3.1.4.8323329.12603.1517875240.98856,train
13,1.2.276.0.7230010.3.1.4.8323329.4922.1517875185.487285,train
14,1.2.276.0.7230010.3.1.4.8323329.31797.1517875156.918192,train
15,1.2.276.0.7230010.3.1.4.8323329.13314.1517875244.629309,train
16,1.2.276.0.7230010.3.1.4.8323329.14291.1517875250.601305,train
17,1.2.276.0.7230010.3.1.4.8323329.4871.1517875185.185952,train
18,1.2.276.0.7230010.3.1.4.8323329.11530.1517875233.415423,train
19,1.2.276.0.7230010.3.1.4.8323329.3137.1517875176.273163,train
20,1.2.276.0.7230010.3.1.4.8323329.11549.1517875233.561988,train
21,1.2.276.0.7230010.3.1.4.8323329.10268.1517875222.913507,train
22,1.2.276.0.7230010.3.1.4.8323329.4757.1517875184.619254,train
23,1.2.276.0.7230010.3.1.4.8323329.2789.1517875174.751337,train
24,1.2.276.0.7230010.3.1.4.8323329.4349.1517875182.412250,train
25,1.2.276.0.7230010.3.1.4.8323329.32358.1517875160.213833,train
26,1.2.276.0.7230010.3.1.4.8323329.13559.1517875246.622712,train
27,1.2.276.0.7230010.3.1.4.8323329.13251.1517875244.358956,train
28,1.2.276.0.7230010.3.1.4.8323329.2292.1517875171.971271,train
29,1.2.276.0.7230010.3.1.4.8323329.3852.1517875179.788111,train
30,1.2.276.0.7230010.3.1.4.8323329.4428.1517875182.831680,train
31,1.2.276.0.7230010.3.1.4.8323329.10410.1517875223.583269,train
32,1.2.276.0.7230010.3.1.4.8323329.2236.1517875171.758938,train
33,1.2.276.0.7230010.3.1.4.8323329.13691.1517875247.257916,train
34,1.2.276.0.7230010.3.1.4.8323329.4171.1517875181.503116,train
35,1.2.276.0.7230010.3.1.4.8323329.1860.1517875169.957015,train
36,1.2.276.0.7230010.3.1.4.8323329.2604.1517875173.685211,train
37,1.2.276.0.7230010.3.1.4.8323329.527.1517875163.323016,train
38,1.2.276.0.7230010.3.1.4.8323329.13782.1517875247.898700,train
39,1.2.276.0.7230010.3.1.4.8323329.10094.1517875221.969850,train
40,1.2.276.0.7230010.3.1.4.8323329.14036.1517875249.260911,train
41,1.2.276.0.7230010.3.1.4.8323329.1445.1517875167.832507,train
42,1.2.276.0.7230010.3.1.4.8323329.5228.1517875187.95605,train
43,1.2.276.0.7230010.3.1.4.8323329.1257.1517875166.994874,train
44,1.2.276.0.7230010.3.1.4.8323329.13233.1517875244.249214,train
45,1.2.276.0.7230010.3.1.4.8323329.3305.1517875177.180482,train
46,1.2.276.0.7230010.3.1.4.8323329.540.1517875163.355534,train
47,1.2.276.0.7230010.3.1.4.8323329.32498.1517875160.877894,train
48,1.2.276.0.7230010.3.1.4.8323329.32582.1517875161.333630,train
49,1.2.276.0.7230010.3.1.4.8323329.13733.1517875247.635331,train
50,1.2.276.0.7230010.3.1.4.8323329.13777.1517875247.870286,train
51,1.2.276.0.7230010.3.1.4.8323329.32477.1517875160.787093,train
52,1.2.276.0.7230010.3.1.4.8323329.3776.1517875179.374457,train
53,1.2.276.0.7230010.3.1.4.8323329.10795.1517875225.653481,train
54,1.2.276.0.7230010.3.1.4.8323329.5566.1517875188.826181,train
55,1.2.276.0.7230010.3.1.4.8323329.11246.1517875231.952753,train
56,1.2.276.0.7230010.3.1.4.8323329.10735.1517875225.405647,train
57,1.2.276.0.7230010.3.1.4.8323329.13254.1517875244.365620,train
58,1.2.276.0.7230010.3.1.4.8323329.3134.1517875176.262695,train
59,1.2.276.0.7230010.3.1.4.8323329.10350.1517875223.302863,train
60,1.2.276.0.7230010.3.1.4.8323329.14390.1517875251.873929,train
